,Player,Age,PTS
1347,George Yardley*,29.0,2001.0
1428,Bob Pettit*,26.0,2105.0
1464,Elgin Baylor*,25.0,2074.0
1473,Wilt Chamberlain*,23.0,2707.0
1572,Jack Twyman*,25.0,2338.0
1582,Elgin Baylor*,26.0,2538.0
1593,Wilt Chamberlain*,24.0,3033.0
1655,Bob Pettit*,28.0,2120.0
1661,Oscar Robertson*,22.0,2165.0
1687,Walt Bellamy*,22.0,2495.0
1706,Wilt Chamberlain*,25.0,4029.0
1728,Richie Guerin*,29.0,2303.0
1774,Bob Pettit*,29.0,2429.0
1781,Oscar Robertson*,23.0,2432.0
1803,Jerry West*,23.0,2310.0
1812,Elgin Baylor*,28.0,2719.0
1814,Walt Bellamy*,23.0,2233.0
1827,Wilt Chamberlain*,26.0,3586.0
1904,Bob Pettit*,30.0,2241.0
1910,Oscar Robertson*,24.0,2264.0
1949,Walt Bellamy*,24.0,2159.0
1962,Wilt Chamberlain*,27.0,2948.0
2041,Bob Pettit*,31.0,2190.0
2045,Oscar Robertson*,25.0,2480.0
2073,Jerry West*,25.0,2064.0
2084,Elgin Baylor*,30.0,2009.0
2099,Wilt Chamberlain*,28.0,2534.0
2148,Sam Jones*,31.0,2070.0
2186,Oscar Robertson*,26.0,2279.0
2207,Jerry West*,26.0,2292.0
2221,Rick Barry*,21.0,2059.0
2239,Wilt Chamberlain*,29.0,2649.0
2305,Oscar Robertson*,27.0,2378.0
2343,Jerry West*,27.0,2476.0
2355,Rick Barry*,22.0,2775.0
2443,Oscar Robertson*,28.0,2412.0
2492,Elgin Baylor*,33.0,2002.0
2495,Dave Bing*,24.0,2142.0
2697,Billy Cunningham*,25.0,2034.0
2739,Elvin Hayes*,23.0,2327.0
2789,Earl Monroe*,24.0,2065.0
2868,Kareem Abdul-Jabbar*,22.0,2361.0
2902,Billy Cunningham*,26.0,2114.0
2940,Elvin Hayes*,24.0,2256.0
2949,Lou Hudson,25.0,2031.0
3058,Jerry West*,31.0,2309.0
3070,Kareem Abdul-Jabbar*,23.0,2596.0
3088,Dave Bing*,27.0,2213.0
3166,John Havlicek*,30.0,2338.0
3168,Elvin Hayes*,25.0,2350.0
3179,Lou Hudson,26.0,2039.0
3206,Bob Love,28.0,2043.0
3240,Geoff Petrie,22.0,2031.0
3316,Kareem Abdul-Jabbar*,24.0,2822.0
3323,Tiny Archibald*,23.0,2145.0
3390,Gail Goodrich*,28.0,2127.0
3401,John Havlicek*,31.0,2252.0
3403,Elvin Hayes*,26.0,2063.0
3434,Bob Lanier*,23.0,2056.0
3441,Bob Love,29.0,2037.0
3568,Sidney Wicks,22.0,2009.0
3582,Kareem Abdul-Jabbar*,25.0,2292.0
3588,Tiny Archibald*,24.0,2719.0
3681,Spencer Haywood*,23.0,2251.0
3690,Lou Hudson,28.0,2029.0
3717,Pete Maravich*,25.0,2063.0
3785,Charlie Scott,24.0,2048.0
3852,Kareem Abdul-Jabbar*,26.0,2191.0
3861,Rick Barry*,29.0,2009.0
3927,Gail Goodrich*,30.0,2076.0
3981,Pete Maravich*,26.0,2107.0
3988,Bob McAdoo*,22.0,2261.0
4108,Tiny Archibald*,26.0,2170.0
4116,Rick Barry*,30.0,2450.0
4255,Bob McAdoo*,23.0,2831.0
4375,Kareem Abdul-Jabbar*,28.0,2275.0
4531,Bob McAdoo*,24.0,2427.0
4650,Kareem Abdul-Jabbar*,29.0,2152.0
4825,Billy Knight,24.0,2075.0
4849,Pete Maravich*,29.0,2273.0
4953,David Thompson*,22.0,2125.0
5135,George Gervin*,25.0,2232.0
5223,Bob McAdoo*,26.0,2097.0
5321,Randy Smith,29.0,2021.0
5333,David Thompson*,23.0,2172.0
5360,Paul Westphal,27.0,2014.0
5487,World B.,25.0,2244.0
5495,George Gervin*,26.0,2365.0
5580,Moses Malone*,23.0,2031.0
5727,Kareem Abdul-Jabbar*,32.0,2034.0
5831,Julius Erving*,29.0,2100.0
5841,World B.,26.0,2055.0
5848,George Gervin*,27.0,2585.0
5942,Moses Malone*,24.0,2119.0
6085,Kareem Abdul-Jabbar*,33.0,2095.0
6152,Adrian Dantley*,24.0,2452.0
6179,Julius Erving*,30.0,2014.0
6194,George Gervin*,28.0,2221.0
6298,Moses Malone*,25.0,2222.0
6322,Mike Mitchell,25.0,2012.0
6521,Adrian Dantley*,25.0,2457.0
6545,Alex English*,28.0,2082.0
6557,George Gervin*,29.0,2551.0
6672,Moses Malone*,26.0,2520.0
6922,Alex English*,29.0,2326.0
6937,George Gervin*,30.0,2043.0
7176,Kiki Vandeweghe,24.0,2186.0
7217,Mark Aguirre,24.0,2330.0
